No arguments are passed. Using default.
TRAINING IMAGE CLASSIFIER ON 17995 images in 10 CATEGORIES
4 augmented images by 'crop' to be generated.
Automatically generating validation set from 5% of the data.
Extracting augmented image features from training data set.
Analyzing and extracting image features.
+----------------------+------------------+--------------+------------------+
| Raw Images Processed | Augmented Images | Elapsed Time | Percent Complete |
| 3260                 | 16300            | 48m 52s      | 19%              |
| 3265                 | 16325            | 48m 56s      | 19%              |
| 3270                 | 16350            | 49m 1s       | 19%              |
| 3275                 | 16375            | 49m 5s       | 19%              |
| 3280                 | 16400            | 49m 10s      | 19%              |
| 3285                 | 16425            | 49m 14s      | 19%              |
| 3290                 | 16450            | 49m 19s      | 19.25%           |
| 3295                 | 16475            | 49m 23s      | 19.25%           |
| 3300                 | 16500            | 49m 28s      | 19.25%           |
| 3305                 | 16525            | 49m 32s      | 19.25%           |
| 3310                 | 16550            | 49m 37s      | 19.25%           |
| 3315                 | 16575            | 49m 41s      | 19.25%           |
| 3320                 | 16600            | 49m 46s      | 19.25%           |
| 3325                 | 16625            | 49m 50s      | 19.25%           |
| 3330                 | 16650            | 49m 55s      | 19.25%           |
| 3335                 | 16675            | 49m 59s      | 19.5%            |
| 3340                 | 16700            | 50m 4s       | 19.5%            |
| 3345                 | 16725            | 50m 8s       | 19.5%            |
| 3350                 | 16750            | 50m 13s      | 19.5%            |
| 3355                 | 16775            | 50m 17s      | 19.5%            |
| 3360                 | 16800            | 50m 21s      | 19.5%            |
| 3365                 | 16825            | 50m 26s      | 19.5%            |
| 3370                 | 16850            | 50m 30s      | 19.5%            |
| 3375                 | 16875            | 50m 35s      | 19.75%           |
| 3380                 | 16900            | 50m 39s      | 19.75%           |
| 3385                 | 16925            | 50m 44s      | 19.75%           |
| 3390                 | 16950            | 50m 48s      | 19.75%           |
| 3395                 | 16975            | 50m 53s      | 19.75%           |
| 3400                 | 17000            | 50m 57s      | 19.75%           |
| 3405                 | 17025            | 51m 2s       | 19.75%           |
| 3410                 | 17050            | 51m 6s       | 19.75%           |
| 3415                 | 17075            | 51m 11s      | 19.75%           |
| 3420                 | 17100            | 51m 15s      | 20%              |
| 3425                 | 17125            | 51m 19s      | 20%              |
| 3430                 | 17150            | 51m 24s      | 20%              |
| 3435                 | 17175            | 51m 28s      | 20%              |
| 3440                 | 17200            | 51m 33s      | 20%              |
| 3445                 | 17225            | 51m 37s      | 20%              |
| 3450                 | 17250            | 51m 42s      | 20%              |
| 3455                 | 17275            | 51m 46s      | 20%              |
| 3460                 | 17300            | 51m 51s      | 20.25%           |
| 3465                 | 17325            | 51m 55s      | 20.25%           |
| 3470                 | 17350            | 52m 0s       | 20.25%           |
| 3475                 | 17375            | 52m 4s       | 20.25%           |
| 3480                 | 17400            | 52m 9s       | 20.25%           |
| 3485                 | 17425            | 52m 13s      | 20.25%           |
| 3490                 | 17450            | 52m 18s      | 20.25%           |
| 3495                 | 17475            | 52m 22s      | 20.25%           |
| 3500                 | 17500            | 52m 27s      | 20.25%           |
| 3505                 | 17525            | 52m 31s      | 20.5%            |
| 3510                 | 17550            | 52m 36s      | 20.5%            |
| 3515                 | 17575            | 52m 40s      | 20.5%            |
| 3520                 | 17600            | 52m 45s      | 20.5%            |
| 3525                 | 17625            | 52m 49s      | 20.5%            |
| 3530                 | 17650            | 52m 54s      | 20.5%            |
| 3535                 | 17675            | 52m 58s      | 20.5%            |
| 3540                 | 17700            | 53m 2s       | 20.5%            |
| 3545                 | 17725            | 53m 7s       | 20.75%           |
| 3550                 | 17750            | 53m 11s      | 20.75%           |
| 3555                 | 17775            | 53m 16s      | 20.75%           |
| 3560                 | 17800            | 53m 20s      | 20.75%           |
| 3565                 | 17825            | 53m 25s      | 20.75%           |
| 3570                 | 17850            | 53m 29s      | 20.75%           |
| 3575                 | 17875            | 53m 34s      | 20.75%           |
| 3580                 | 17900            | 53m 38s      | 20.75%           |
| 3585                 | 17925            | 53m 43s      | 20.75%           |
| 3590                 | 17950            | 53m 47s      | 21%              |
| 3595                 | 17975            | 53m 51s      | 21%              |
| 3600                 | 18000            | 53m 56s      | 21%              |
| 3605                 | 18025            | 54m 0s       | 21%              |
| 3610                 | 18050            | 54m 5s       | 21%              |
| 3615                 | 18075            | 54m 9s       | 21%              |
| 3620                 | 18100            | 54m 14s      | 21%              |
| 3625                 | 18125            | 54m 18s      | 21%              |
| 3630                 | 18150            | 54m 23s      | 21.25%           |
| 3635                 | 18175            | 54m 27s      | 21.25%           |
| 3640                 | 18200            | 54m 31s      | 21.25%           |
| 3645                 | 18225            | 54m 36s      | 21.25%           |
| 3650                 | 18250            | 54m 40s      | 21.25%           |
| 3655                 | 18275            | 54m 45s      | 21.25%           |
| 3660                 | 18300            | 54m 49s      | 21.25%           |
| 3665                 | 18325            | 54m 54s      | 21.25%           |
| 3670                 | 18350            | 54m 58s      | 21.25%           |
| 3675                 | 18375            | 55m 3s       | 21.5%            |
| 3680                 | 18400            | 55m 7s       | 21.5%            |
| 3685                 | 18425            | 55m 12s      | 21.5%            |
| 3690                 | 18450            | 55m 16s      | 21.5%            |
| 3695                 | 18475            | 55m 21s      | 21.5%            |
| 3700                 | 18500            | 55m 25s      | 21.5%            |
| 3705                 | 18525            | 55m 29s      | 21.5%            |
| 3710                 | 18550            | 55m 34s      | 21.5%            |
| 3715                 | 18575            | 55m 38s      | 21.75%           |
| 3720                 | 18600            | 55m 43s      | 21.75%           |
| 3725                 | 18625            | 55m 47s      | 21.75%           |
| 3730                 | 18650            | 55m 52s      | 21.75%           |
| 3735                 | 18675            | 55m 57s      | 21.75%           |
| 3740                 | 18700            | 56m 1s       | 21.75%           |
| 3745                 | 18725            | 56m 6s       | 21.75%           |
| 3750                 | 18750            | 56m 10s      | 21.75%           |
| 3755                 | 18775            | 56m 15s      | 21.75%           |
| 3760                 | 18800            | 56m 19s      | 22%              |
| 3765                 | 18825            | 56m 24s      | 22%              |
| 3770                 | 18850            | 56m 28s      | 22%              |
| 3775                 | 18875            | 56m 32s      | 22%              |
| 3780                 | 18900            | 56m 37s      | 22%              |
| 3785                 | 18925            | 56m 41s      | 22%              |
| 3790                 | 18950            | 56m 46s      | 22%              |
| 3795                 | 18975            | 56m 50s      | 22%              |
| 3800                 | 19000            | 56m 55s      | 22.25%           |
| 3805                 | 19025            | 56m 59s      | 22.25%           |
| 3810                 | 19050            | 57m 4s       | 22.25%           |
| 3815                 | 19075            | 57m 8s       | 22.25%           |
| 3820                 | 19100            | 57m 13s      | 22.25%           |
| 3825                 | 19125            | 57m 17s      | 22.25%           |
| 3830                 | 19150            | 57m 22s      | 22.25%           |
| 3835                 | 19175            | 57m 26s      | 22.25%           |
| 3840                 | 19200            | 57m 31s      | 22.25%           |
| 3845                 | 19225            | 57m 35s      | 22.5%            |
| 3850                 | 19250            | 57m 40s      | 22.5%            |
| 3855                 | 19275            | 57m 44s      | 22.5%            |
| 3860                 | 19300            | 57m 49s      | 22.5%            |
| 3865                 | 19325            | 57m 53s      | 22.5%            |
| 3870                 | 19350            | 57m 58s      | 22.5%            |
| 3875                 | 19375            | 58m 2s       | 22.5%            |
| 3880                 | 19400            | 58m 6s       | 22.5%            |
| 3885                 | 19425            | 58m 11s      | 22.5%            |
| 3890                 | 19450            | 58m 16s      | 22.75%           |
| 3895                 | 19475            | 58m 21s      | 22.75%           |
| 3900                 | 19500            | 58m 26s      | 22.75%           |
| 3905                 | 19525            | 58m 30s      | 22.75%           |
| 3910                 | 19550            | 58m 35s      | 22.75%           |
| 3915                 | 19575            | 58m 40s      | 22.75%           |
| 3920                 | 19600            | 58m 44s      | 22.75%           |
| 3925                 | 19625            | 58m 49s      | 22.75%           |
| 3930                 | 19650            | 58m 53s      | 23%              |
| 3935                 | 19675            | 58m 58s      | 23%              |
| 3940                 | 19700            | 59m 4s       | 23%              |
| 3945                 | 19725            | 59m 9s       | 23%              |
| 3950                 | 19750            | 59m 14s      | 23%              |
| 3955                 | 19775            | 59m 18s      | 23%              |
| 3960                 | 19800            | 59m 23s      | 23%              |
| 3965                 | 19825            | 59m 27s      | 23%              |
| 3970                 | 19850            | 59m 32s      | 23%              |
| 3975                 | 19875            | 59m 37s      | 23.25%           |
| 3980                 | 19900            | 59m 42s      | 23.25%           |
| 3985                 | 19925            | 59m 46s      | 23.25%           |
| 3990                 | 19950            | 59m 51s      | 23.25%           |
| 3995                 | 19975            | 59m 55s      | 23.25%           |
| 4000                 | 20000            | 1h 0m        | 23.25%           |
| 4005                 | 20025            | 1h 0m        | 23.25%           |
| 4010                 | 20050            | 1h 0m        | 23.25%           |
| 4015                 | 20075            | 1h 0m        | 23.5%            |
| 4020                 | 20100            | 1h 0m        | 23.5%            |
| 4025                 | 20125            | 1h 0m        | 23.5%            |
| 4030                 | 20150            | 1h 0m        | 23.5%            |
| 4035                 | 20175            | 1h 0m        | 23.5%            |
| 4040                 | 20200            | 1h 0m        | 23.5%            |
| 4045                 | 20225            | 1h 0m        | 23.5%            |
| 4050                 | 20250            | 1h 0m        | 23.5%            |
| 4055                 | 20275            | 1h 0m        | 23.5%            |
| 4060                 | 20300            | 1h 0m        | 23.75%           |
| 4065                 | 20325            | 1h 1m        | 23.75%           |
| 4070                 | 20350            | 1h 1m        | 23.75%           |
| 4075                 | 20375            | 1h 1m        | 23.75%           |
| 4080                 | 20400            | 1h 1m        | 23.75%           |
| 4085                 | 20425            | 1h 1m        | 23.75%           |
| 4090                 | 20450            | 1h 1m        | 23.75%           |
| 4095                 | 20475            | 1h 1m        | 23.75%           |
| 4100                 | 20500            | 1h 1m        | 24%              |
| 4105                 | 20525            | 1h 1m        | 24%              |
| 4110                 | 20550            | 1h 1m        | 24%              |
| 4115                 | 20575            | 1h 1m        | 24%              |
| 4120                 | 20600            | 1h 1m        | 24%              |
| 4125                 | 20625            | 1h 1m        | 24%              |
| 4130                 | 20650            | 1h 2m        | 24%              |
| 4135                 | 20675            | 1h 2m        | 24%              |
| 4140                 | 20700            | 1h 2m        | 24%              |
| 4145                 | 20725            | 1h 2m        | 24.25%           |
| 4150                 | 20750            | 1h 2m        | 24.25%           |
| 4155                 | 20775            | 1h 2m        | 24.25%           |
| 4160                 | 20800            | 1h 2m        | 24.25%           |
| 4165                 | 20825            | 1h 2m        | 24.25%           |
| 4170                 | 20850            | 1h 2m        | 24.25%           |
| 4175                 | 20875            | 1h 2m        | 24.25%           |
| 4180                 | 20900            | 1h 2m        | 24.25%           |
| 4185                 | 20925            | 1h 2m        | 24.5%            |
| 4190                 | 20950            | 1h 2m        | 24.5%            |
| 4195                 | 20975            | 1h 2m        | 24.5%            |
| 4200                 | 21000            | 1h 3m        | 24.5%            |
| 4205                 | 21025            | 1h 3m        | 24.5%            |
| 4210                 | 21050            | 1h 3m        | 24.5%            |
| 4215                 | 21075            | 1h 3m        | 24.5%            |
| 4220                 | 21100            | 1h 3m        | 24.5%            |
| 4225                 | 21125            | 1h 3m        | 24.5%            |
| 4230                 | 21150            | 1h 3m        | 24.75%           |
| 4235                 | 21175            | 1h 3m        | 24.75%           |
| 4240                 | 21200            | 1h 3m        | 24.75%           |
| 4245                 | 21225            | 1h 3m        | 24.75%           |
| 4250                 | 21250            | 1h 3m        | 24.75%           |
| 4255                 | 21275            | 1h 3m        | 24.75%           |
| 4260                 | 21300            | 1h 3m        | 24.75%           |
| 4265                 | 21325            | 1h 4m        | 24.75%           |
| 4270                 | 21350            | 1h 4m        | 25%              |
| 4275                 | 21375            | 1h 4m        | 25%              |
| 4280                 | 21400            | 1h 4m        | 25%              |
| 4285                 | 21425            | 1h 4m        | 25%              |
| 4290                 | 21450            | 1h 4m        | 25%              |
| 4295                 | 21475            | 1h 4m        | 25%              |
| 4300                 | 21500            | 1h 4m        | 25%              |
| 4305                 | 21525            | 1h 4m        | 25%              |
| 4310                 | 21550            | 1h 4m        | 25%              |
| 4315                 | 21575            | 1h 4m        | 25.25%           |
| 4320                 | 21600            | 1h 4m        | 25.25%           |
| 4325                 | 21625            | 1h 4m        | 25.25%           |
| 4330                 | 21650            | 1h 5m        | 25.25%           |
| 4335                 | 21675            | 1h 5m        | 25.25%           |
| 4340                 | 21700            | 1h 5m        | 25.25%           |
| 4345                 | 21725            | 1h 5m        | 25.25%           |
| 4350                 | 21750            | 1h 5m        | 25.25%           |
| 4355                 | 21775            | 1h 5m        | 25.5%            |
| 4360                 | 21800            | 1h 5m        | 25.5%            |
| 4365                 | 21825            | 1h 5m        | 25.5%            |
| 4370                 | 21850            | 1h 5m        | 25.5%            |
| 4375                 | 21875            | 1h 5m        | 25.5%            |
| 4380                 | 21900            | 1h 5m        | 25.5%            |
| 4385                 | 21925            | 1h 5m        | 25.5%            |
| 4390                 | 21950            | 1h 5m        | 25.5%            |
| 4395                 | 21975            | 1h 6m        | 25.5%            |
| 4400                 | 22000            | 1h 6m        | 25.75%           |
| 4405                 | 22025            | 1h 6m        | 25.75%           |
| 4410                 | 22050            | 1h 6m        | 25.75%           |
| 4415                 | 22075            | 1h 6m        | 25.75%           |
| 4420                 | 22100            | 1h 6m        | 25.75%           |
| 4425                 | 22125            | 1h 6m        | 25.75%           |
| 4430                 | 22150            | 1h 6m        | 25.75%           |
| 4435                 | 22175            | 1h 6m        | 25.75%           |
| 4440                 | 22200            | 1h 6m        | 25.75%           |
| 4445                 | 22225            | 1h 6m        | 26%              |
| 4450                 | 22250            | 1h 6m        | 26%              |
| 4455                 | 22275            | 1h 6m        | 26%              |
| 4460                 | 22300            | 1h 6m        | 26%              |
| 4465                 | 22325            | 1h 7m        | 26%              |
| 4470                 | 22350            | 1h 7m        | 26%              |
| 4475                 | 22375            | 1h 7m        | 26%              |
| 4480                 | 22400            | 1h 7m        | 26%              |
| 4485                 | 22425            | 1h 7m        | 26.25%           |
| 4490                 | 22450            | 1h 7m        | 26.25%           |
| 4495                 | 22475            | 1h 7m        | 26.25%           |
| 4500                 | 22500            | 1h 7m        | 26.25%           |
| 4505                 | 22525            | 1h 7m        | 26.25%           |
| 4510                 | 22550            | 1h 7m        | 26.25%           |
| 4515                 | 22575            | 1h 7m        | 26.25%           |
| 4520                 | 22600            | 1h 7m        | 26.25%           |
| 4525                 | 22625            | 1h 7m        | 26.25%           |
| 4530                 | 22650            | 1h 8m        | 26.5%            |
| 4535                 | 22675            | 1h 8m        | 26.5%            |
| 4540                 | 22700            | 1h 8m        | 26.5%            |
| 4545                 | 22725            | 1h 8m        | 26.5%            |
| 4550                 | 22750            | 1h 8m        | 26.5%            |
| 4555                 | 22775            | 1h 8m        | 26.5%            |
| 4560                 | 22800            | 1h 8m        | 26.5%            |
| 4565                 | 22825            | 1h 8m        | 26.5%            |
| 4570                 | 22850            | 1h 8m        | 26.75%           |
| 4575                 | 22875            | 1h 8m        | 26.75%           |
| 4580                 | 22900            | 1h 8m        | 26.75%           |
| 4585                 | 22925            | 1h 8m        | 26.75%           |
| 4590                 | 22950            | 1h 8m        | 26.75%           |
| 4595                 | 22975            | 1h 9m        | 26.75%           |
| 4600                 | 23000            | 1h 9m        | 26.75%           |
| 4605                 | 23025            | 1h 9m        | 26.75%           |
| 4610                 | 23050            | 1h 9m        | 26.75%           |
| 4615                 | 23075            | 1h 9m        | 27%              |
| 4620                 | 23100            | 1h 9m        | 27%              |
| 4625                 | 23125            | 1h 9m        | 27%              |
| 4630                 | 23150            | 1h 9m        | 27%              |
| 4635                 | 23175            | 1h 9m        | 27%              |
| 4640                 | 23200            | 1h 9m        | 27%              |
| 4645                 | 23225            | 1h 9m        | 27%              |
| 4650                 | 23250            | 1h 9m        | 27%              |
| 4655                 | 23275            | 1h 9m        | 27.25%           |
| 4660                 | 23300            | 1h 10m       | 27.25%           |
| 4665                 | 23325            | 1h 10m       | 27.25%           |
| 4670                 | 23350            | 1h 10m       | 27.25%           |
| 4675                 | 23375            | 1h 10m       | 27.25%           |
| 4680                 | 23400            | 1h 10m       | 27.25%           |
| 4685                 | 23425            | 1h 10m       | 27.25%           |
| 4690                 | 23450            | 1h 10m       | 27.25%           |
| 4695                 | 23475            | 1h 10m       | 27.25%           |
| 4700                 | 23500            | 1h 10m       | 27.5%            |
| 4705                 | 23525            | 1h 10m       | 27.5%            |
| 4710                 | 23550            | 1h 10m       | 27.5%            |
| 4715                 | 23575            | 1h 10m       | 27.5%            |
| 4720                 | 23600            | 1h 10m       | 27.5%            |
| 4725                 | 23625            | 1h 11m       | 27.5%            |
| 4730                 | 23650            | 1h 11m       | 27.5%            |
| 4735                 | 23675            | 1h 11m       | 27.5%            |
| 4740                 | 23700            | 1h 11m       | 27.75%           |
| 4745                 | 23725            | 1h 11m       | 27.75%           |
| 4750                 | 23750            | 1h 11m       | 27.75%           |
| 4755                 | 23775            | 1h 11m       | 27.75%           |
| 4760                 | 23800            | 1h 11m       | 27.75%           |
| 4765                 | 23825            | 1h 11m       | 27.75%           |
| 4770                 | 23850            | 1h 11m       | 27.75%           |
| 4775                 | 23875            | 1h 11m       | 27.75%           |
| 4780                 | 23900            | 1h 11m       | 27.75%           |
| 4785                 | 23925            | 1h 11m       | 28%              |
| 4790                 | 23950            | 1h 11m       | 28%              |
| 4795                 | 23975            | 1h 12m       | 28%              |
| 4800                 | 24000            | 1h 12m       | 28%              |
| 4805                 | 24025            | 1h 12m       | 28%              |
| 4810                 | 24050            | 1h 12m       | 28%              |
| 4815                 | 24075            | 1h 12m       | 28%              |
| 4820                 | 24100            | 1h 12m       | 28%              |
| 4825                 | 24125            | 1h 12m       | 28.25%           |
| 4830                 | 24150            | 1h 12m       | 28.25%           |
| 4835                 | 24175            | 1h 12m       | 28.25%           |
| 4840                 | 24200            | 1h 12m       | 28.25%           |
| 4845                 | 24225            | 1h 12m       | 28.25%           |
| 4850                 | 24250            | 1h 12m       | 28.25%           |
| 4855                 | 24275            | 1h 12m       | 28.25%           |
| 4860                 | 24300            | 1h 13m       | 28.25%           |
| 4865                 | 24325            | 1h 13m       | 28.25%           |
| 4870                 | 24350            | 1h 13m       | 28.5%            |
| 4875                 | 24375            | 1h 13m       | 28.5%            |
| 4880                 | 24400            | 1h 13m       | 28.5%            |
| 4885                 | 24425            | 1h 13m       | 28.5%            |
| 4890                 | 24450            | 1h 13m       | 28.5%            |
| 4895                 | 24475            | 1h 13m       | 28.5%            |
| 4900                 | 24500            | 1h 13m       | 28.5%            |
| 4905                 | 24525            | 1h 13m       | 28.5%            |
| 4910                 | 24550            | 1h 13m       | 28.75%           |
| 4915                 | 24575            | 1h 13m       | 28.75%           |
| 4920                 | 24600            | 1h 13m       | 28.75%           |
| 4925                 | 24625            | 1h 14m       | 28.75%           |
| 4930                 | 24650            | 1h 14m       | 28.75%           |
| 4935                 | 24675            | 1h 14m       | 28.75%           |
| 4940                 | 24700            | 1h 14m       | 28.75%           |
| 4945                 | 24725            | 1h 14m       | 28.75%           |
| 4950                 | 24750            | 1h 14m       | 28.75%           |
| 4955                 | 24775            | 1h 14m       | 29%              |
| 4960                 | 24800            | 1h 14m       | 29%              |
| 4965                 | 24825            | 1h 14m       | 29%              |
| 4970                 | 24850            | 1h 14m       | 29%              |
| 4975                 | 24875            | 1h 14m       | 29%              |
| 4980                 | 24900            | 1h 14m       | 29%              |
| 4985                 | 24925            | 1h 14m       | 29%              |
| 4990                 | 24950            | 1h 14m       | 29%              |
| 4995                 | 24975            | 1h 15m       | 29%              |
| 5000                 | 25000            | 1h 15m       | 29.25%           |
| 5005                 | 25025            | 1h 15m       | 29.25%           |
| 5010                 | 25050            | 1h 15m       | 29.25%           |
| 5015                 | 25075            | 1h 15m       | 29.25%           |
| 5020                 | 25100            | 1h 15m       | 29.25%           |
| 5025                 | 25125            | 1h 15m       | 29.25%           |
| 5030                 | 25150            | 1h 15m       | 29.25%           |
| 5035                 | 25175            | 1h 15m       | 29.25%           |
| 5040                 | 25200            | 1h 15m       | 29.5%            |
| 5045                 | 25225            | 1h 15m       | 29.5%            |
| 5050                 | 25250            | 1h 15m       | 29.5%            |
| 5055                 | 25275            | 1h 15m       | 29.5%            |
| 5060                 | 25300            | 1h 16m       | 29.5%            |
| 5065                 | 25325            | 1h 16m       | 29.5%            |
| 5070                 | 25350            | 1h 16m       | 29.5%            |
| 5075                 | 25375            | 1h 16m       | 29.5%            |
| 5080                 | 25400            | 1h 16m       | 29.5%            |
| 5085                 | 25425            | 1h 16m       | 29.75%           |
| 5090                 | 25450            | 1h 16m       | 29.75%           |
| 5095                 | 25475            | 1h 16m       | 29.75%           |
| 5100                 | 25500            | 1h 16m       | 29.75%           |
| 5105                 | 25525            | 1h 16m       | 29.75%           |
| 5110                 | 25550            | 1h 16m       | 29.75%           |
| 5115                 | 25575            | 1h 16m       | 29.75%           |
| 5120                 | 25600            | 1h 16m       | 29.75%           |
| 5125                 | 25625            | 1h 17m       | 30%              |
| 5130                 | 25650            | 1h 17m       | 30%              |
| 5135                 | 25675            | 1h 17m       | 30%              |
| 5140                 | 25700            | 1h 17m       | 30%              |
| 5145                 | 25725            | 1h 17m       | 30%              |
| 5150                 | 25750            | 1h 17m       | 30%              |
| 5155                 | 25775            | 1h 17m       | 30%              |
| 5160                 | 25800            | 1h 17m       | 30%              |
| 5165                 | 25825            | 1h 17m       | 30%              |
| 5170                 | 25850            | 1h 17m       | 30.25%           |
| 5175                 | 25875            | 1h 17m       | 30.25%           |
| 5180                 | 25900            | 1h 17m       | 30.25%           |
| 5185                 | 25925            | 1h 17m       | 30.25%           |
| 5190                 | 25950            | 1h 18m       | 30.25%           |
| 5195                 | 25975            | 1h 18m       | 30.25%           |
| 5200                 | 26000            | 1h 18m       | 30.25%           |
| 5205                 | 26025            | 1h 18m       | 30.25%           |
| 5210                 | 26050            | 1h 18m       | 30.5%            |
| 5215                 | 26075            | 1h 18m       | 30.5%            |
| 5220                 | 26100            | 1h 18m       | 30.5%            |
| 5225                 | 26125            | 1h 18m       | 30.5%            |
| 5230                 | 26150            | 1h 18m       | 30.5%            |
| 5235                 | 26175            | 1h 18m       | 30.5%            |
| 5240                 | 26200            | 1h 18m       | 30.5%            |
| 5245                 | 26225            | 1h 18m       | 30.5%            |
| 5250                 | 26250            | 1h 18m       | 30.5%            |
| 5255                 | 26275            | 1h 18m       | 30.75%           |
| 5260                 | 26300            | 1h 19m       | 30.75%           |
| 5265                 | 26325            | 1h 19m       | 30.75%           |
| 5270                 | 26350            | 1h 19m       | 30.75%           |
| 5275                 | 26375            | 1h 19m       | 30.75%           |
| 5280                 | 26400            | 1h 19m       | 30.75%           |
| 5285                 | 26425            | 1h 19m       | 30.75%           |
| 5290                 | 26450            | 1h 19m       | 30.75%           |
| 5295                 | 26475            | 1h 19m       | 31%              |
| 5300                 | 26500            | 1h 19m       | 31%              |
| 5305                 | 26525            | 1h 19m       | 31%              |
| 5310                 | 26550            | 1h 19m       | 31%              |
| 5315                 | 26575            | 1h 19m       | 31%              |
| 5320                 | 26600            | 1h 19m       | 31%              |
| 5325                 | 26625            | 1h 20m       | 31%              |
| 5330                 | 26650            | 1h 20m       | 31%              |
| 5335                 | 26675            | 1h 20m       | 31%              |
| 5340                 | 26700            | 1h 20m       | 31.25%           |
| 5345                 | 26725            | 1h 20m       | 31.25%           |
| 5350                 | 26750            | 1h 20m       | 31.25%           |
| 5355                 | 26775            | 1h 20m       | 31.25%           |
| 5360                 | 26800            | 1h 20m       | 31.25%           |
| 5365                 | 26825            | 1h 20m       | 31.25%           |
| 5370                 | 26850            | 1h 20m       | 31.25%           |
| 5375                 | 26875            | 1h 20m       | 31.25%           |
| 5380                 | 26900            | 1h 20m       | 31.5%            |
| 5385                 | 26925            | 1h 21m       | 31.5%            |
| 5390                 | 26950            | 1h 21m       | 31.5%            |
| 5395                 | 26975            | 1h 21m       | 31.5%            |
| 5400                 | 27000            | 1h 21m       | 31.5%            |
| 5405                 | 27025            | 1h 21m       | 31.5%            |
| 5410                 | 27050            | 1h 21m       | 31.5%            |
| 5415                 | 27075            | 1h 21m       | 31.5%            |
| 5420                 | 27100            | 1h 21m       | 31.5%            |
| 5425                 | 27125            | 1h 21m       | 31.75%           |
| 5430                 | 27150            | 1h 21m       | 31.75%           |
| 5435                 | 27175            | 1h 21m       | 31.75%           |
| 5440                 | 27200            | 1h 21m       | 31.75%           |
| 5445                 | 27225            | 1h 21m       | 31.75%           |
| 5450                 | 27250            | 1h 22m       | 31.75%           |
| 5455                 | 27275            | 1h 22m       | 31.75%           |
| 5460                 | 27300            | 1h 22m       | 31.75%           |
| 5465                 | 27325            | 1h 22m       | 32%              |
| 5470                 | 27350            | 1h 22m       | 32%              |
| 5475                 | 27375            | 1h 22m       | 32%              |
| 5480                 | 27400            | 1h 22m       | 32%              |
| 5485                 | 27425            | 1h 22m       | 32%              |
| 5490                 | 27450            | 1h 22m       | 32%              |
| 5495                 | 27475            | 1h 22m       | 32%              |
| 5500                 | 27500            | 1h 22m       | 32%              |
| 5505                 | 27525            | 1h 22m       | 32%              |
| 5510                 | 27550            | 1h 22m       | 32.25%           |
| 5515                 | 27575            | 1h 22m       | 32.25%           |
| 5520                 | 27600            | 1h 23m       | 32.25%           |
| 5525                 | 27625            | 1h 23m       | 32.25%           |
| 5530                 | 27650            | 1h 23m       | 32.25%           |
| 5535                 | 27675            | 1h 23m       | 32.25%           |
| 5540                 | 27700            | 1h 23m       | 32.25%           |
| 5545                 | 27725            | 1h 23m       | 32.25%           |
| 5550                 | 27750            | 1h 23m       | 32.25%           |
| 5555                 | 27775            | 1h 23m       | 32.5%            |
| 5560                 | 27800            | 1h 23m       | 32.5%            |
| 5565                 | 27825            | 1h 23m       | 32.5%            |
| 5570                 | 27850            | 1h 23m       | 32.5%            |
| 5575                 | 27875            | 1h 23m       | 32.5%            |
| 5580                 | 27900            | 1h 23m       | 32.5%            |
| 5585                 | 27925            | 1h 24m       | 32.5%            |
| 5590                 | 27950            | 1h 24m       | 32.5%            |
| 5595                 | 27975            | 1h 24m       | 32.75%           |
| 5600                 | 28000            | 1h 24m       | 32.75%           |
| 5605                 | 28025            | 1h 24m       | 32.75%           |
| 5610                 | 28050            | 1h 24m       | 32.75%           |
| 5615                 | 28075            | 1h 24m       | 32.75%           |
| 5620                 | 28100            | 1h 24m       | 32.75%           |
| 5625                 | 28125            | 1h 24m       | 32.75%           |
| 5630                 | 28150            | 1h 24m       | 32.75%           |
| 5635                 | 28175            | 1h 24m       | 32.75%           |
| 5640                 | 28200            | 1h 24m       | 33%              |
| 5645                 | 28225            | 1h 24m       | 33%              |
| 5650                 | 28250            | 1h 25m       | 33%              |
| 5655                 | 28275            | 1h 25m       | 33%              |
| 5660                 | 28300            | 1h 25m       | 33%              |
| 5665                 | 28325            | 1h 25m       | 33%              |
| 5670                 | 28350            | 1h 25m       | 33%              |
| 5675                 | 28375            | 1h 25m       | 33%              |
| 5680                 | 28400            | 1h 25m       | 33.25%           |
| 5685                 | 28425            | 1h 25m       | 33.25%           |
| 5690                 | 28450            | 1h 25m       | 33.25%           |
| 5695                 | 28475            | 1h 25m       | 33.25%           |
| 5700                 | 28500            | 1h 25m       | 33.25%           |
| 5705                 | 28525            | 1h 25m       | 33.25%           |
| 5710                 | 28550            | 1h 25m       | 33.25%           |
| 5715                 | 28575            | 1h 25m       | 33.25%           |
| 5720                 | 28600            | 1h 26m       | 33.25%           |
| 5725                 | 28625            | 1h 26m       | 33.5%            |
| 5730                 | 28650            | 1h 26m       | 33.5%            |
| 5735                 | 28675            | 1h 26m       | 33.5%            |
| 5740                 | 28700            | 1h 26m       | 33.5%            |
| 5745                 | 28725            | 1h 26m       | 33.5%            |
| 5750                 | 28750            | 1h 26m       | 33.5%            |
| 5755                 | 28775            | 1h 26m       | 33.5%            |
| 5760                 | 28800            | 1h 26m       | 33.5%            |
| 5765                 | 28825            | 1h 26m       | 33.75%           |
| 5770                 | 28850            | 1h 26m       | 33.75%           |
